x,t,u
1.5,0.9,0.306146080346749
1.6,0.9,0.279055261704741
1.7,0.9,0.253089554254358
1.8,0.9,0.228424188604209
1.9,0.9,0.205189466129906
2,0.9,0.183473751856881
2.1,0.9,0.163327330464485
2.2,0.9,0.144766830791823
2.3,0.9,0.127779952426604
2.4,0.9,0.112330264852869
2.5,0.9,0.0983618910112887
2.6,0.9,0.0858039294701947
2.7,0.9,0.0745745099912594
2.8,0.9,0.0645844141669857
2.9,0.9,0.0557402247998532
3,0.9,0.0479469941946232
0.1,1,0.582461130746494
0.2,1,0.577446283942428
0.3,1,0.569194266054434
0.4,1,0.557860240282626
0.5,1,0.54365380386346
0.6,1,0.526831858467766
0.7,1,0.507690115850752
0.8,1,0.486553670531702
0.9,1,0.463767096326568
1,1,0.439684517893827
1.1,1,0.414660075005006
1.2,1,0.389039141067306
1.3,1,0.363150584946005
1.4,1,0.337300283384478
1.5,1,0.311766007159418
1.6,1,0.286793723615626
1.7,1,0.262595286262922
1.8,1,0.239347422111074
1.9,1,0.217191881309912
2,1,0.196236582026752
2.1,1,0.176557565760578
2.2,1,0.158201573024014
2.3,1,0.141189054510669
2.4,1,0.12551744620573
2.5,1,0.111164556036078
2.6,1,0.0980919323689041
2.7,1,0.0862481089916014
2.8,1,0.0755716455143328
2.9,1,0.065993905171799
3,1,0.0574415328664598
0.1,1.1,0.553957172314192
0.2,1.1,0.549669333897024
0.3,1.1,0.542603800475317
0.4,1.1,0.532879220495697
0.5,1.1,0.520656538537385
0.6,1.1,0.506134130046466
0.7,1.1,0.489541948713416
0.8,1.1,0.471134950666633
0.9,1.1,0.451186080633343
1,1.1,0.42997910903073
1.1,1.1,0.407801596541807
1.2,1.1,0.384938236206565
1.3,1.1,0.361664785385249
1.4,1.1,0.338242754607857
1.5,1.1,0.314914970952803
1.6,1.1,0.291902083677087
1.7,1.1,0.269400032407517
1.8,1.1,0.247578455752407
1.9,1.1,0.226579982461431
2,1.1,0.206520319285606
2.1,1.1,0.187489029835667
2.2,1.1,0.169550886793236
2.3,1.1,0.152747675127728
2.4,1.1,0.137100325523926
2.5,1.1,0.122611263851943
2.6,1.1,0.109266872961547
2.7,1.1,0.0970399761304151
2.8,1.1,0.0858922660131645
2.9,1.1,0.0757766179457972
3,1.1,0.0666392411558297
0.1,1.2,0.529225757679325
0.2,1.2,0.525506480158276
0.3,1.2,0.519370917263353
