x,t,u
0.1,0.1,0.729843788128358
0.2,0.1,0.532671955069551
0.3,0.1,0.388767317517699
0.4,0.1,0.283739411717618
0.5,0.1,0.207085447089298
0.6,0.1,0.151140027169908
0.7,0.1,0.110308609967508
0.8,0.1,0.0805080537618597
0.9,0.1,0.058758302932397
1,0.1,0.0428843823961742
1.1,0.1,0.0312989000995689
1.2,0.1,0.0228433078129203
1.3,0.1,0.0166720463075638
1.4,0.1,0.0121679894329638
1.5,0.1,0.00888073150166013
1.6,0.1,0.0064815467205227
1.7,0.1,0.00473051661143753
1.8,0.1,0.00345253816349611
1.9,0.1,0.002519813531904
2,0.1,0.00183907025350205
2.1,0.1,0.0013422340004503
2.2,0.1,0.000979621147443543
2.3,0.1,0.000714970409181004
2.4,0.1,0.000521816711836376
2.5,0.1,0.000380844685675452
2.6,0.1,0.000277957128081985
2.7,0.1,0.000202865283296605
2.8,0.1,0.000148059966840863
2.9,0.1,0.000108060647069141
3,0.1,7.88673920044669e-05
0.1,0.2,0.843826238111394
0.2,0.2,0.699050721221091
0.3,0.2,0.570913080945943
0.4,0.2,0.460990017013619
0.5,0.2,0.368792013610895
0.6,0.2,0.292764666860331
0.7,0.2,0.23089978407881
0.8,0.2,0.181094018708418
0.9,0.2,0.141346849832682
1,0.2,0.109858535646975
1.1,0.2,0.0850676367863477
1.2,0.2,0.0656536115943985
1.3,0.2,0.0505206167805972
1.4,0.2,0.038772479014099
1.5,0.2,0.0296847902057142
1.6,0.2,0.0226775072677352
1.7,0.2,0.0172898203844774
1.8,0.2,0.0131580638785234
1.9,0.2,0.00999685994407207
2,0.2,0.00758336065083731
2.1,0.2,0.00574429039733593
2.2,0.2,0.00434542578352315
2.3,0.2,0.00328314163331811
2.4,0.2,0.00247767460552661
2.5,0.2,0.00186779336710408
2.6,0.2,0.0014066069968246
2.7,0.2,0.00105828561341925
2.8,0.2,0.000795506263026047
2.9,0.2,0.000597471542251427
3,0.2,0.000448377910994946
0.1,0.3,0.881917399547639
0.2,0.3,0.767643915238903
0.3,0.3,0.660229750331948
0.4,0.3,0.561747252363594
0.5,0.3,0.473340477930237
0.6,0.3,0.395388549928814
0.7,0.3,0.327699010234239
0.8,0.3,0.269689393155208
0.9,0.3,0.220539313520855
1,0.3,0.179308480255319
1.1,0.3,0.145022641450619
1.2,0.3,0.116732303112345
1.3,0.3,0.0935498339258656
1.4,0.3,0.0746702864539133
1.5,0.3,0.0593805197259424
1.6,0.3,0.0470603259499943
1.7,0.3,0.0371784140422722
1.8,0.3,0.0292853615003295
1.9,0.3,0.0230050387205671
2,0.3,0.0180255338184541
2.1,0.3,0.0140902462331026
2.2,0.3,0.0109895542313279
2.3,0.3,0.00855327507433357
2.4,0.3,0.0066440092614406
2.5,0.3,0.00515137691413903
2.6,0.3,0.00398710292154092
2.7,0.3,0.00308087852141425
2.8,0.3,0.00237691341208701
2.9,0.3,0.00183108901766604
3,0.3,0.00140862637078665
0.1,0.4,0.901427506624741
0.2,0.4,0.804806023957191
0.3,0.4,0.711900752161471
0.4,0.4,0.624162580548703
0.5,0.4,0.542665941754446
0.6,0.4,0.468101849342609
0.7,0.4,0.400809086872152
0.8,0.4,0.340827332065487
0.9,0.4,0.287959371149849
1,0.4,0.241833415997111
1.1,0.4,0.201959954418552
1.2,0.4,0.167780224136786
1.3,0.4,0.138705285957465
1.4,0.4,0.114145892981303
1.5,0.4,0.0935340606578803
1.6,0.4,0.0763375824276515
1.7,0.4,0.0620688298451886
1.8,0.4,0.0502891188430172
1.9,0.4,0.0406097835751145
2,0.4,0.0326909227926664
2.1,0.4,0.0262386009076394
2.2,0.4,0.0210011144900661
2.3,0.4,0.0167647840983666
2.4,0.4,0.0133496046090701
2.5,0.4,0.0106049846545365
2.6,0.4,0.00840572547404272
2.7,0.4,0.00664832854879904
