x,t,u
0.1,0.1,1.28348486100883
0.2,0.1,0.82366669421943
0.3,0.1,0.528581866273914
0.4,0.1,0.339213411583182
0.5,0.1,0.217687639209086
0.6,0.1,0.139699394676807
0.7,0.1,0.08965102907989
0.8,0.1,0.057532869298951
0.9,0.1,0.0369212833778019
1,0.1,0.023693954132213
1.1,0.1,0.0152054157130668
1.2,0.1,0.00975796043653365
1.3,0.1,0.00626209724730709
1.4,0.1,0.00401865350754194
1.5,0.1,0.00257894046928508
1.6,0.1,0.00165501552488556
1.7,0.1,0.00106209368546284
1.8,0.1,0.000681590583132663
1.9,0.1,0.000437405597428997
2,0.1,0.000280701731210753
2.1,0.1,0.000180138211234193
2.2,0.1,0.000115602333504272
2.3,0.1,7.41869224749614e-05
2.4,0.1,4.76088959409093e-05
2.5,0.1,3.05526485947505e-05
2.6,0.1,1.96069309674751e-05
2.7,0.1,1.25825995338502e-05
2.8,0.1,8.07478800668449e-06
2.9,0.1,5.18193408116652e-06
3,0.1,3.32546697179303e-06
0.1,0.2,0.560158717038367
0.2,0.2,0.718955233080874
0.3,0.2,0.692076118051783
0.4,0.2,0.592179480123483
0.5,0.2,0.475033373586607
0.6,0.2,0.365818886083418
0.7,0.2,0.273888417926189
0.8,0.2,0.200875221722242
0.9,0.2,0.145023922143163
1,0.2,0.103408893641596
1.1,0.2,0.0729980622154636
1.2,0.2,0.0511046769471974
1.3,0.2,0.0355290428937576
1.4,0.2,0.0245543785201465
1.5,0.2,0.0168831284475479
1.6,0.2,0.0115569278767444
1.7,0.2,0.00788010667133587
1.8,0.2,0.00535446932600925
1.9,0.2,0.00362708961263092
2,0.2,0.00245016558280753
2.1,0.2,0.00165099397706181
2.2,0.2,0.001109965882235
2.3,0.2,0.000744690030453854
2.4,0.2,0.00049867741577303
2.5,0.2,0.000333356725870537
2.6,0.2,0.000222486321704518
2.7,0.2,0.000148270409492723
2.8,0.2,9.86755393657113e-05
2.9,0.2,6.55858619089678e-05
3,0.2,4.35405832015512e-05
0.1,0.3,1.1389792682295
0.2,0.3,0.795084847693083
0.3,0.3,0.652091981150707
0.4,0.3,0.574119810127325
0.5,0.3,0.509785173713288
