x,t,u
1.5,0.9,0.318852666766875
1.6,0.9,0.292572605764303
1.7,0.9,0.266953756890292
1.8,0.9,0.242211316685475
1.9,0.9,0.218527936518123
2,0.9,0.196052321496897
2.1,0.9,0.174899154761005
2.2,0.9,0.155150177368485
2.3,0.9,0.136856119716239
2.4,0.9,0.120039194128686
2.5,0.9,0.104695946356583
2.6,0.9,0.090800349005812
2.7,0.9,0.078307063281061
2.8,0.9,0.0671547980667967
2.9,0.9,0.0572696790687511
3,0.9,0.0485685273627666
0.1,1,0.562315816662668
0.2,1,0.558143634926023
0.3,1,0.551254779066565
0.4,1,0.541747305175251
0.5,1,0.52975825516928
0.6,1,0.515460442705004
0.7,1,0.499056971063226
0.8,1,0.480774824864672
0.9,1,0.460858955195184
1,1,0.439567414166353
1.1,1,0.417167092571887
1.2,1,0.393929230450892
1.3,1,0.370124245487723
1.4,1,0.346016113116479
1.5,1,0.321856975282069
1.6,1,0.297882611920065
1.7,1,0.274309037660652
1.8,1,0.251330110886117
1.9,1,0.229115882914245
2,1,0.207811479075471
2.1,1,0.187536458467079
2.2,1,0.168384709256529
2.3,1,0.150424946683314
2.4,1,0.133701817438822
2.5,1,0.118237535040906
2.6,1,0.104033919958523
2.7,1,0.0910747074406617
2.8,1,0.0793280032442342
2.9,1,0.0687487938670756
3,1,0.0592814401575206
0.1,1.1,0.536371100938955
0.2,1.1,0.532741700064802
0.3,1.1,0.526748586341218
0.4,1.1,0.51847285210442
0.5,1.1,0.508023803368114
0.6,1.1,0.495536626729879
0.7,1.1,0.481170346074121
0.8,1.1,0.46510541497732
0.9,1.1,0.44754032537398
1,1.1,0.428687181165743
1.1,1.1,0.40876677092302
1.2,1.1,0.388003836877052
1.3,1.1,0.36662294695849
1.4,1.1,0.344844944742157
1.5,1.1,0.322883714314125
1.6,1.1,0.300943057220098
1.7,1.1,0.279213700083487
1.8,1.1,0.257870627946565
1.9,1.1,0.23707096041907
2,1.1,0.216952484259441
2.1,1.1,0.197632825906225
2.2,1.1,0.179209169642995
2.3,1.1,0.161758418819724
2.4,1.1,0.145337729095013
2.5,1.1,0.129985374854963
2.6,1.1,0.115721921262192
2.7,1.1,0.102551665365633
2.8,1.1,0.0904642927326341
2.9,1.1,0.0794366831780466
3,1.1,0.0694347958180496
0.1,1.2,0.513700242713037
0.2,1.2,0.510513488418813
0.3,1.2,0.505244804644822
0.4,1.2,0.497957985044765
0.5,1.2,0.488741506532286
0.6,1.2,0.47770669655457
0.7,1.2,0.464985004559315
0.8,1.2,0.450724894702144
0.9,1.2,0.435088839296475
1,1.2,0.418250541280202
1.1,1.2,0.400392181321307
1.2,1.2,0.381701427245314
1.3,1.2,0.362368147115569
1.4,1.2,0.34258101931501
1.5,1.2,0.32252433464072
1.6,1.2,0.302375200697744
1.7,1.2,0.282301195492881
1.8,1.2,0.262458404370209
1.9,1.2,0.242989763922838
2,1.2,0.224023692808354
2.1,1.2,0.205673045597241
2.2,1.2,0.188034440234344
2.3,1.2,0.171187983549759
2.4,1.2,0.15519737871262
2.5,1.2,0.140110368314342
2.6,1.2,0.125959455960661
2.7,1.2,0.112762852850462
2.8,1.2,0.100525603973668
2.9,1.2,0.089240854266669
3,1.2,0.0788912165828044
0.1,1.3,0.493679409275284
0.2,1.3,0.490848011431509
0.3,1.3,0.48616544767004
0.4,1.3,0.479685148339681
0.5,1.3,0.471479940580727
0.6,1.3,0.461640751096699
0.7,1.3,0.450275254538635
0.8,1.3,0.437506225838353
0.9,1.3,0.423469408913809
1,1.3,0.408310948523337
1.1,1.3,0.392184631524113
1.2,1.3,0.375249198682549
1.3,1.3,0.357665846182184
1.4,1.3,0.339595881165956
1.5,1.3,0.321198445393647
1.6,1.3,0.302628281040611
1.7,1.3,0.284033604018035
1.8,1.3,0.265554194618299
1.9,1.3,0.24731979259288
2,1.3,0.229448826968582
2.1,1.3,0.21204746427296
2.2,1.3,0.195208943464264
2.3,1.3,0.179013174623242
2.4,1.3,0.163526592149469
2.5,1.3,0.148802257924205
2.6,1.3,0.134880203576317
2.7,1.3,0.121787989508078
2.8,1.3,0.109541448537958
2.9,1.3,0.0981455773108999
3,1.3,0.0875955386695541
0.1,1.4,0.475824768415954
0.2,1.4,0.473289819429404
0.3,1.4,0.469094397960126
0.4,1.4,0.463282502117757
0.5,1.4,0.455914985459596
0.6,1.4,0.447068459502285
0.7,1.4,0.436833782300126
0.8,1.4,0.425314342792483
0.9,1.4,0.412624314899928
1,1.4,0.398886911670526
1.1,1.4,0.384232557679312
1.2,1.4,0.36879690476148
1.3,1.4,0.352718712718234
1.4,1.4,0.336137706498061
1.5,1.4,0.31919253610039
1.6,1.4,0.302018912424795
1.7,1.4,0.284747927695577
1.8,1.4,0.267504540079027
1.9,1.4,0.250406214180306
2,1.4,0.233561736197948
2.1,1.4,0.217070237132789
2.2,1.4,0.201020450752668
2.3,1.4,0.185490213862555
2.4,1.4,0.170546198453056
2.5,1.4,0.156243856055765
2.6,1.4,0.14262755340741
2.7,1.4,0.129730880445624
2.8,1.4,0.117577112573229
2.9,1.4,0.106179807764826
